Zip Code,City,Primary Zone,Drive Time (min),Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Zone 5 (%),Total Housing Units,SF Detached,% SF Detached,Other Dwellings,% Other,Median Income
75019,Coppell,1,1.6,100,0,0,0,0,17329,11809,68.1,5520,31.9,136679.0
75063,Irving,2,12.4,0,100,0,0,0,18550,7276,39.2,11274,60.8,106909.0
76051,Grapevine,2,13.3,0,100,0,0,0,22311,12160,54.5,10151,45.5,106726.0
75067,Lewisville,2,15.0,0,100,0,0,0,28733,10948,38.1,17785,61.9,75224.0
75057,Lewisville,2,17.2,0,100,0,0,0,7101,2335,32.9,4766,67.1,73935.0
75007,Carrollton,2,17.4,0,100,0,0,0,20990,15507,73.9,5483,26.1,105969.0
75261,DFW Airport,2,17.4,0,100,0,0,0,0,0,0.0,0,0.0,
75022,Flower Mound,2,18.3,0,100,0,0,0,9329,7778,83.4,1551,16.6,179892.0
75039,Irving,2,18.3,0,100,0,0,0,12597,1444,11.5,11153,88.5,100474.0
75077,Flower Mound,2,18.7,0,100,0,0,0,14203,12230,86.1,1973,13.9,120254.0
76092,Southlake,2,18.8,0,100,0,0,0,9871,9324,94.5,547,5.5,250001.0
75010,Carrollton,2,18.9,0,100,0,0,0,13569,6360,46.9,7209,53.1,98567.0
75006,Carrollton,2,19.3,0,100,0,0,0,19226,9391,48.8,9835,51.2,79672.0
75234,Farmers Branch,3,20.3,0,0,100,0,0,13691,7688,56.2,6003,43.8,85105.0
76039,Euless,3,20.3,0,0,100,0,0,18016,7479,41.5,10537,58.5,80176.0
75244,Dallas,3,20.4,0,0,100,0,0,6417,2935,45.7,3482,54.3,109440.0
76022,Bedford,3,20.4,0,0,100,0,0,6244,3440,55.1,2804,44.9,70286.0
75062,Irving,3,20.7,0,0,100,0,0,18659,8919,47.8,9740,52.2,68692.0
76021,Bedford,3,20.7,0,0,100,0,0,15399,8487,55.1,6912,44.9,84539.0
75229,Dallas,3,21.6,0,0,100,0,0,12410,8839,71.2,3571,28.8,117083.0
75038,Irving,3,22.1,0,0,100,0,0,14822,2286,15.4,12536,84.6,69678.0
76040,Euless,3,22.3,0,0,100,0,0,12808,5141,40.1,7667,59.9,65698.0
76262,Roanoke,3,22.8,0,0,100,0,0,15639,11666,74.6,3973,25.4,130524.0
75247,Dallas,3,23.1,0,0,100,0,0,356,12,3.4,344,96.6,18750.0
75220,Dallas,3,23.4,0,0,100,0,0,15635,5344,34.2,10291,65.8,56849.0
75056,The Colony,3,23.6,0,0,100,0,0,27692,17925,64.7,9767,35.3,111589.0
76053,Hurst,3,23.7,0,0,100,0,0,12779,7491,58.6,5288,41.4,59985.0
75240,Dallas,3,23.8,0,0,100,0,0,11949,2063,17.3,9886,82.7,51607.0
76034,Colleyville,3,24.0,0,0,100,0,0,9386,8983,95.7,403,4.3,196034.0
76155,Fort Worth,3,24.2,0,0,100,0,0,3843,21,0.5,3822,99.5,59653.0
75251,Dallas,3,24.8,0,0,100,0,0,2917,42,1.4,2875,98.6,85294.0
75390,Dallas,3,25.4,0,0,100,0,0,0,0,0.0,0,0.0,
75001,Addison,3,25.9,0,0,100,0,0,10370,1350,13.0,9020,87.0,77598.0
75230,Dallas,3,26.0,0,0,100,0,0,14615,6642,45.4,7973,54.6,109589.0
75287,Dallas,3,26.4,0,0,100,0,0,29586,6837,23.1,22749,76.9,60256.0
75243,Dallas,3,26.5,0,0,100,0,0,31253,6471,20.7,24782,79.3,47319.0
75061,Irving,3,26.7,0,0,100,0,0,20055,8312,41.4,11743,58.6,58236.0
75235,Dallas,3,26.7,0,0,100,0,0,9621,2182,22.7,7439,77.3,57744.0
75252,Dallas,3,27.2,0,0,100,0,0,14409,6134,42.6,8275,57.4,77147.0
76210,Denton,3,27.6,0,0,100,0,0,16583,13259,80.0,3324,20.0,102036.0
76006,Arlington,3,27.7,0,0,100,0,0,13593,2394,17.6,11199,82.4,56312.0
75254,Dallas,3,27.8,0,0,100,0,0,13792,1573,11.4,12219,88.6,70901.0
76054,Hurst,3,27.9,0,0,100,0,0,4845,4197,86.6,648,13.4,104748.0
75207,Dallas,3,28.0,0,0,100,0,0,2446,20,0.8,2426,99.2,88655.0
75248,Dallas,3,28.2,0,0,100,0,0,18521,8235,44.5,10286,55.5,98584.0
75209,Dallas,3,28.4,0,0,100,0,0,7466,4115,55.1,3351,44.9,116477.0
75225,Dallas,3,28.4,0,0,100,0,0,9699,6196,63.9,3503,36.1,180181.0
76118,Fort Worth,3,28.6,0,0,100,0,0,6504,5017,77.1,1487,22.9,89394.0
75034,Frisco,3,28.7,0,0,100,0,0,22307,8822,39.5,13485,60.5,104323.0
75033,Frisco,3,28.8,0,0,100,0,0,15937,12419,77.9,3518,22.1,165218.0
75028,Flower Mound,3,28.9,0,0,100,0,0,17841,15549,87.2,2292,12.8,143712.0
75212,Dallas,3,28.9,0,0,100,0,0,8951,6012,67.2,2939,32.8,47089.0
75238,Dallas,3,29.0,0,0,100,0,0,14269,7020,49.2,7249,50.8,71352.0
76180,North Richland Hills,3,29.2,0,0,100,0,0,15722,7964,50.7,7758,49.3,76416.0
75060,Irving,3,29.5,0,0,100,0,0,15399,10789,70.1,4610,29.9,67479.0
75219,Dallas,3,29.5,0,0,100,0,0,19273,1451,7.5,17822,92.5,86826.0
75231,Dallas,3,29.5,0,0,100,0,0,21448,2791,13.0,18657,87.0,50603.0
76011,Arlington,3,29.5,0,0,100,0,0,11544,2013,17.4,9531,82.6,50200.0
76182,North Richland Hills,3,29.5,0,0,100,0,0,11589,10419,89.9,1170,10.1,110669.0
75201,Dallas,3,29.8,0,0,100,0,0,12836,221,1.7,12615,98.3,102891.0
75205,Dallas,3,29.9,0,0,100,0,0,10454,4974,47.6,5480,52.4,180698.0
75270,Dallas,4,30.3,0,0,0,100,0,0,0,0.0,0,0.0,
75080,Richardson,4,30.4,0,0,0,100,0,20303,11469,56.5,8834,43.5,86341.0
75050,Grand Prairie,4,30.5,0,0,0,100,0,17038,7627,44.8,9411,55.2,68421.0
75075,Plano,4,30.5,0,0,0,100,0,15640,9356,59.8,6284,40.2,89081.0
76248,Keller,4,30.9,0,0,0,100,0,14623,12690,86.8,1933,13.2,161383.0
76148,Fort Worth,4,31.2,0,0,0,100,0,8358,8218,98.3,140,1.7,88121.0
76205,Denton,4,31.3,0,0,0,100,0,8395,3607,43.0,4788,57.0,60196.0
75035,Frisco,4,32.1,0,0,0,100,0,28240,23369,82.8,4871,17.2,154811.0
75202,Dallas,4,32.1,0,0,0,100,0,1895,94,5.0,1801,95.0,113843.0
75211,Dallas,4,32.2,0,0,0,100,0,24116,14927,61.9,9189,38.1,53614.0
76010,Arlington,4,32.2,0,0,0,100,0,20437,8544,41.8,11893,58.2,42571.0
75052,Grand Prairie,4,32.3,0,0,0,100,0,32641,23785,72.9,8856,27.1,84055.0
75093,Plano,4,32.3,0,0,0,100,0,20701,11836,57.2,8865,42.8,121360.0
75082,Richardson,4,32.4,0,0,0,100,0,12799,6780,53.0,6019,47.0,108869.0
76117,Haltom City,4,32.4,0,0,0,100,0,12475,8320,66.7,4155,33.3,49782.0
76201,Denton,4,32.6,0,0,0,100,0,12852,3759,29.2,9093,70.8,37703.0
75204,Dallas,4,32.8,0,0,0,100,0,22025,1351,6.1,20674,93.9,88142.0
76244,Keller,4,32.8,0,0,0,100,0,25625,20417,79.7,5208,20.3,116568.0
75025,Plano,4,32.9,0,0,0,100,0,19081,13709,71.8,5372,28.2,134740.0
75036,Frisco,4,32.9,0,0,0,100,0,11532,10569,91.6,963,8.4,137902.0
75203,Dallas,4,33.0,0,0,0,100,0,7009,3227,46.0,3782,54.0,43376.0
75208,Dallas,4,33.2,0,0,0,100,0,13207,7586,57.4,5621,42.6,75699.0
76177,Fort Worth,4,33.2,0,0,0,100,0,9525,5004,52.5,4521,47.5,102719.0
76226,Argyle,4,33.2,0,0,0,100,0,12876,12358,96.0,518,4.0,165428.0
75051,Grand Prairie,4,33.3,0,0,0,100,0,14178,8152,57.5,6026,42.5,49485.0
76120,Fort Worth,4,33.5,0,0,0,100,0,8713,4387,50.4,4326,49.6,70129.0
75206,Dallas,4,33.8,0,0,0,100,0,25408,4737,18.6,20671,81.4,84784.0
75236,Dallas,4,33.9,0,0,0,100,0,7357,2574,35.0,4783,65.0,45739.0
76014,Arlington,4,34.2,0,0,0,100,0,11263,6639,58.9,4624,41.1,60894.0
76209,Denton,4,34.5,0,0,0,100,0,11419,6991,61.2,4428,38.8,69090.0
75246,Dallas,4,35.0,0,0,0,100,0,1513,167,11.0,1346,89.0,42429.0
75214,Dallas,4,35.1,0,0,0,100,0,17058,9509,55.7,7549,44.3,115304.0
76012,Arlington,4,35.3,0,0,0,100,0,11539,7436,64.4,4103,35.6,80972.0
75044,Garland,4,35.5,0,0,0,100,0,16936,11434,67.5,5502,32.5,84016.0
75215,Dallas,4,35.7,0,0,0,100,0,8487,4381,51.6,4106,48.4,39486.0
76208,Denton,4,35.7,0,0,0,100,0,8877,5384,60.7,3493,39.3,100314.0
76137,Fort Worth,4,35.8,0,0,0,100,0,23435,15410,65.8,8025,34.2,86733.0
76119,Fort Worth,4,36.0,0,0,0,100,0,16386,10483,64.0,5903,36.0,44605.0
75074,Plano,4,36.4,0,0,0,100,0,18673,10902,58.4,7771,41.6,78441.0
75071,McKinney,4,36.5,0,0,0,100,0,22921,19652,85.7,3269,14.3,124763.0
75224,Dallas,4,36.5,0,0,0,100,0,12423,7679,61.8,4744,38.2,50061.0
75226,Dallas,4,36.6,0,0,0,100,0,2910,269,9.2,2641,90.8,67612.0
76207,Denton,4,36.7,0,0,0,100,0,6915,4704,68.0,2211,32.0,88152.0
75054,Grand Prairie,4,36.8,0,0,0,100,0,4941,4538,91.8,403,8.2,154412.0
75078,Prosper,4,36.8,0,0,0,100,0,12841,11887,92.6,954,7.4,178254.0
75081,Richardson,4,36.9,0,0,0,100,0,14675,8252,56.2,6423,43.8,88161.0
75002,Allen,4,37.0,0,0,0,100,0,23724,20961,88.4,2763,11.6,119301.0
76013,Arlington,4,37.0,0,0,0,100,0,14211,8015,56.4,6196,43.6,64585.0
76052,Haslet,4,37.0,0,0,0,100,0,9031,8646,95.7,385,4.3,135348.0
75023,Plano,4,37.1,0,0,0,100,0,19139,13617,71.1,5522,28.9,101246.0
75233,Dallas,4,37.2,0,0,0,100,0,4940,2841,57.5,2099,42.5,61750.0
75024,Plano,4,37.3,0,0,0,100,0,19756,7996,40.5,11760,59.5,114623.0
75041,Garland,4,37.3,0,0,0,100,0,10388,7301,70.3,3087,29.7,62744.0
75042,Garland,4,37.4,0,0,0,100,0,11908,7851,65.9,4057,34.1,60118.0
76015,Arlington,4,37.4,0,0,0,100,0,6969,3656,52.5,3313,47.5,69805.0
75218,Dallas,4,37.8,0,0,0,100,0,10356,7426,71.7,2930,28.3,104026.0
75043,Garland,4,38.2,0,0,0,100,0,23276,14905,64.0,8371,36.0,72079.0
75069,McKinney,4,38.2,0,0,0,100,0,16657,9692,58.2,6965,41.8,74967.0
76017,Arlington,4,38.2,0,0,0,100,0,16804,12847,76.5,3957,23.5,89930.0
75116,Duncanville,4,38.3,0,0,0,100,0,7349,4814,65.5,2535,34.5,57245.0
76018,Arlington,4,38.3,0,0,0,100,0,8618,7763,90.1,855,9.9,83815.0
76131,Fort Worth,4,38.3,0,0,0,100,0,17036,14853,87.2,2183,12.8,101087.0
75223,Dallas,4,38.5,0,0,0,100,0,5036,3603,71.5,1433,28.5,66875.0
75210,Dallas,4,38.7,0,0,0,100,0,3215,1715,53.3,1500,46.7,26822.0
75040,Garland,4,38.9,0,0,0,100,0,21023,16907,80.4,4116,19.6,70592.0
75149,Mesquite,4,38.9,0,0,0,100,0,20894,16133,77.2,4761,22.8,64858.0
76247,Justin,4,39.2,0,0,0,100,0,5846,5059,86.5,787,13.5,107405.0
75232,Dallas,4,39.3,0,0,0,100,0,11566,9512,82.2,2054,17.8,52739.0
75070,McKinney,4,39.4,0,0,0,100,0,23143,13103,56.6,10040,43.4,101188.0
75068,Little Elm,4,39.5,0,0,0,100,0,22408,19874,88.7,2534,11.3,119464.0
75150,Mesquite,4,39.5,0,0,0,100,0,24626,14121,57.3,10505,42.7,66265.0
76005,Arlington,4,39.5,0,0,0,100,0,1752,1260,71.9,492,28.1,191250.0
75249,Dallas,4,39.6,0,0,0,100,0,5326,5152,96.7,174,3.3,79162.0
75237,Dallas,4,40.0,0,0,0,100,0,8989,1328,14.8,7661,85.2,38552.0
76164,Fort Worth,4,40.2,0,0,0,100,0,4900,4054,82.7,846,17.3,52691.0
75216,Dallas,4,41.0,0,0,0,100,0,20665,15223,73.7,5442,26.3,33889.0
75228,Dallas,4,41.0,0,0,0,100,0,27130,14690,54.1,12440,45.9,55848.0
75088,Rowlett,4,41.1,0,0,0,100,0,9822,8437,85.9,1385,14.1,101995.0
75072,McKinney,4,41.4,0,0,0,100,0,18491,16887,91.3,1604,8.7,147321.0
75217,Dallas,4,41.8,0,0,0,100,0,25396,19501,76.8,5895,23.2,49841.0
76016,Arlington,4,42.0,0,0,0,100,0,11491,10550,91.8,941,8.2,103605.0
75013,Allen,4,42.1,0,0,0,100,0,17551,11346,64.6,6205,35.4,149549.0
75048,Sachse,4,42.7,0,0,0,100,0,9918,8731,88.0,1187,12.0,126792.0
75089,Rowlett,4,42.8,0,0,0,100,0,11949,10405,87.1,1544,12.9,119332.0
76060,Kennedale,4,43.5,0,0,0,100,0,3027,2228,73.6,799,26.4,112931.0
76001,Arlington,4,43.6,0,0,0,100,0,11815,10298,87.2,1517,12.8,101311.0
76002,Arlington,4,43.6,0,0,0,100,0,9820,9544,97.2,276,2.8,102369.0
75137,Duncanville,4,43.7,0,0,0,100,0,7232,5918,81.8,1314,18.2,81160.0
75253,Dallas,4,44.1,0,0,0,100,0,7027,3259,46.4,3768,53.6,51642.0
75104,Cedar Hill,4,44.2,0,0,0,100,0,16831,13994,83.1,2837,16.9,84760.0
75182,Sunnyvale,4,44.3,0,0,0,100,0,2694,2391,88.8,303,11.2,152632.0
76134,Fort Worth,4,44.5,0,0,0,100,0,10542,7939,75.3,2603,24.7,65516.0
75241,Dallas,4,45.0,0,0,0,100,0,11464,9243,80.6,2221,19.4,45356.0
76179,Fort Worth,5,45.0,0,0,0,0,100,25480,22698,89.1,2782,10.9,106288.0
75065,Lake Dallas,5,45.4,0,0,0,0,100,4927,3365,68.3,1562,31.7,95403.0
75141,Hutchins,5,45.8,0,0,0,0,100,1380,659,47.8,721,52.2,45213.0
75227,Dallas,5,46.7,0,0,0,0,100,19692,13408,68.1,6284,31.9,54743.0
76063,Mansfield,5,46.9,0,0,0,0,100,26984,20944,77.6,6040,22.4,110303.0
75032,Rockwall,5,47.5,0,0,0,0,100,12757,10765,84.4,1992,15.6,132756.0
76132,Fort Worth,5,47.5,0,0,0,0,100,13664,4348,31.8,9316,68.2,68284.0
76133,Fort Worth,5,47.6,0,0,0,0,100,20276,14408,71.1,5868,28.9,69506.0
75134,Lancaster,5,47.8,0,0,0,0,100,7084,5854,82.6,1230,17.4,65114.0
75172,Wilmer,5,48.0,0,0,0,0,100,1870,823,44.0,1047,56.0,63003.0
75159,Seagoville,5,49.0,0,0,0,0,100,6971,5248,75.3,1723,24.7,69301.0
75181,Mesquite,5,50.3,0,0,0,0,100,8255,7574,91.8,681,8.2,107734.0
75146,Lancaster,5,50.4,0,0,0,0,100,9121,6455,70.8,2666,29.2,68001.0
75115,DeSoto,5,50.7,0,0,0,0,100,21644,15695,72.5,5949,27.5,81895.0
76028,Burleson,5,50.7,0,0,0,0,100,27439,22511,82.0,4928,18.0,93314.0
75087,Rockwall,5,51.4,0,0,0,0,100,14683,12786,87.1,1897,12.9,124583.0
75098,Wylie,5,51.9,0,0,0,0,100,21772,18180,83.5,3592,16.5,112198.0
76227,Aubrey,5,52.9,0,0,0,0,100,18611,16028,86.1,2583,13.9,106113.0
76140,Fort Worth,5,53.7,0,0,0,0,100,10822,8087,74.7,2735,25.3,70933.0
